,similarity
soup sausage bistro,0.6988529094308651
taquizas kabronis,0.6985951969894013
shake shack,0.6985343415595213
macayos mexican table,0.6980960187927372
yogis grill,0.6980928192548812
genie gs,0.6979988539709466
americas taco shop,0.6979282150377282
otro cafe,0.6977573607726193
the stand,0.6976820052874617
miracle mile delicatessen,0.6976722361888987
gojo ethiopian restaurant,0.6975450553471122
baja fresh mexican grill,0.6974662928435177
ny slicers deli,0.6970957628801937
arts all american cafe,0.6968715396437212
snooze an am eatery,0.6963450086779983
burger mania,0.6962882753207915
little king of kings,0.6957766993838659
andes peruvian cuisine,0.6957633749747416
candys kitchen,0.6957519529898887
city square deli grill,0.6949509313689739
caribbean marketplace grill,0.6946378237356978
jackinthe box drive thru,0.6945677320908097
giant rustic pizza,0.6944256708623846
hibachi grill supreme buffet,0.6941206384497551
what a sub,0.6938271441662742
fez,0.6937253724783223
olives mediterranean grill,0.6931093951351808
lunch time cafe,0.6930821189843528
doubletree suites by hilton phoenix,0.6925483475709716
reubens deli,0.6921657910175261
the grand,0.6917411876878192
ringside sports grill,0.6916705909213515
rocket burger subs,0.6911816561341004
morning glory cafe,0.6910751026585591
scramble a breakfast lunch joint,0.6907037711210217
papa johns,0.6907030073721925
paz cantina,0.6903242929432365
temaki sushi,0.6900942935080296
sizzle korean barbeque,0.6892786809160927
pt noodles,0.6887316255255214
papa johns pizza,0.6884702222554826
carolinas mexican food,0.6881707278772686
limn tacos tequila,0.6876574989100266
ihop,0.687603701589321
asahi bakery,0.687535302279034
village inn,0.6873657958941994
over easy,0.6871685446447492
desert donuts,0.6871637209997661
tacos tequila whiskey,0.687154269811779
nishikawa ramen,0.6869345718275345
paquime street food of mexico,0.6861224689929968
rokerij,0.6860169611278469
zookz sandwiches,0.6858265649254272
international house of food,0.685711063845377
lamars donuts coffee,0.6849113651981544
oroweat baking company,0.684817020368587
yusefs middle eastern restaurant grocery deli,0.684432462847694
lux central,0.6844318340967415
rolands cafe market bar,0.6839824585974108
machete azteca estilo df,0.6838436582677738
biryani bites,0.6837740227140616
los reyes de la torta,0.6833494927448871
los dos molinos,0.6832540803399689
spoonz cafe,0.6831578845108865
thai recipe bistro,0.6829283309367102
stackers restaurant,0.6825983014474513
tonys italian delicatessen,0.6825749055363873
new tokyo food market,0.6824512125921063
berthas caf,0.6822048127643252
helpings cafe market and catering,0.6819833782277092
carniceria la hereford,0.6817020595315626
hannys,0.681352885500168
sabai modern thai,0.6811548060218896
the parlor,0.6809066431490627
carlos obriens mexican restaurant,0.6806511177653431
eastwind sushi grill,0.6805314161499671
ladybug house of sandwiches,0.6802082616111096
my mothers restaurant,0.6801983855410034
melrose kitchen,0.6799711921749512
little miss bbq,0.6798634206146716
birria queen,0.6789693615096355
foxy fruit acai bowls smoothies,0.6787514045698895
taste of new mexico,0.6786301443086611
yasha from russia,0.6780182122534824
turf paradise,0.6776821698120787
water chestnut,0.6775750412969385
daisy mountain coffee roasters,0.6774033678083291
cold beers cheeseburgers,0.6772424854409768
the kettle black kitchen pub,0.6767632153360025
segals oasis grill kosher foods,0.6766865038767904
ice house tavern,0.676632833617645
pf changs,0.6765521981585392
churn,0.6762483547269126
artizen,0.6762334441142734
da vang restaurant,0.6754094396984283
songbird coffee tea house,0.6745798822625206
chennai chettinaad palace,0.6743786289858318
tarbells the tavern,0.6741849665665061
modern margarita,0.674145910526607
jimmy johns,0.6740596215511006
bar bianco,0.6739756013746838
thai basil signature,0.673305370243662
old station sub shop,0.6731175844059316
popeyes louisiana kitchen,0.6731066900226257
indian delhi palace,0.673009067719325
aji spa,0.6726776397810337
marstons cafe,0.6726070595691667
petes fish and chips,0.6724654164502291
forno 301,0.6722980255804848
gluten free creations,0.6720498592363331
canyon 49 grill,0.6719381646973437
little caesars pizza,0.6715924818355152
atl wings,0.6713080415641559
the henry,0.6711263868996177
christos ristorante,0.6711042432454378
wingstop,0.6710509821772018
yoshis restaurant,0.6706827453447384
bawarchi indian cuisine,0.6701618022919484
saffron jak,0.669184907612437
la canasta mexican foods,0.6686793263373099
snoh ice shavery,0.6686080311895046
la grande orange,0.6673903489626787
raising canes chicken fingers,0.6672600738148116
devils greens,0.6672544288186284
pita bistro,0.6669867115763415
my gal sal bakery catering,0.6669452968561502
hooters,0.6667413787620792
the original rainbow donuts,0.6653873267870801
best of europe meats deli,0.6650613484382597
ponchos mexican food and cantina,0.6649198139002701
proteinhouse scottsdale,0.6648943160870893
phx vegan food festival,0.664664067250031
taqueria el compadre,0.6645124393523796
pomegranate cafe,0.6644454873134705
nana panchas,0.6638376420649157
